Name,NTF,Scattering,Constructors,Methods,LoCs,VP,Tangling,DT_Max,DT_Min,NGOr_Max,NGXOr_Max,BF_Max,NO,NTop,NLeaf,NVCF,NomesFeatures
ArgoUML/UMLExpressionExpressionModel.java,1,18,0,22,118,22,19,3,3,0,0,0,1,0,1,X, ; STATEDIAGRAM
ArgoUML/UmlFactoryMDRImpl.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UmlFilePersister.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLList2.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLMessageActivatorComboBox.java,2,27,4,34,339,51,21,3,3,0,0,0,2,0,2,X, ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM
ArgoUML/UMLMessageActivatorComboBoxModel.java,2,27,4,34,339,51,21,3,3,0,0,0,2,0,2,X, ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM
ArgoUML/UMLModelElementListModel2.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLMutableGraphSupport.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLMutableLinkedList.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLPlainTextDocument.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLRecurrenceExpressionModel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLStateDiagram.java,2,233,72,459,3450,791,38,3,2,0,0,0,2,0,2,X, ; LOGGING ; ACTIVITYDIAGRAM
ArgoUML/UMLTagDefinitionComboBoxModel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UMLTimeExpressionModel.java,3,251,72,481,3568,813,57,3,2,0,0,0,3,0,3,X, ; LOGGING ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/UseCaseDiagramGraphModel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/UseCasesHelperMDRImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,
ArgoUML/UserDefinedProfile.java,2,211,70,444,3311,761,4,2,2,0,0,0,2,0,2,X, ; LOGGING ; COGNITIVE
ArgoUML/WizAssocComposite.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/WizBreakCircularComp.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/WizDescription.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/WizManyNames.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/WizMEName.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/WizNavigable.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
